cod_municipio,municipio,uf,n
5107602,RONDONOPOLIS,MT,5
5201702,ARAGARCAS,GO,5
5205307,CAVALCANTE,GO,5
5205471,CHAPADAO DO CEU,GO,5
5208905,GOIAS,GO,5
5212501,LUZIANIA,GO,5
5215603,PADRE BERNARDO,GO,5
5218003,PORANGATU,GO,5
5220504,SERRANOPOLIS,GO,5
1100189,PIMENTA BUENO,RO,4
1100320,SAO MIGUEL DO GUAPORE,RO,4
1100403,ALTO PARAISO,RO,4
1101500,SERINGUEIRAS,RO,4
1200302,FEIJO,AC,4
1200401,RIO BRANCO,AC,4
1300904,CANUTAMA,AM,4
1303304,NOVO ARIPUANA,AM,4
1500131,ABEL FIGUEIREDO,PA,4
1502707,CONCEICAO DO ARAGUAIA,PA,4
1502764,CUMARU DO NORTE,PA,4
1503093,GOIANESIA DO PARA,PA,4
1504455,MEDICILANDIA,PA,4
1505650,PLACAS,PA,4
1506195,RUROPOLIS,PA,4
1506583,SANTA MARIA DAS BARREIRAS,PA,4
1702554,AUGUSTINOPOLIS,TO,4
1713601,MONTE DO CARMO,TO,4
2101400,BALSAS,MA,4
2105302,IMPERATRIZ,MA,4
2105401,ITAPECURU MIRIM,MA,4
2109502,RIACHAO,MA,4
2110658,SAO DOMINGOS DO AZEITAO,MA,4
2112506,TUTOIA,MA,4
2211001,TERESINA,PI,4
2302602,CAMOCIM,CE,4
2303501,CASCAVEL,CE,4
2303709,CAUCAIA,CE,4
2306405,ITAPIPOCA,CE,4
2312700,SENADOR POMPEU,CE,4
2401206,ARES,RN,4
2504801,COREMAS,PB,4
2516300,SUME,PB,4
2613909,SERRA TALHADA,PE,4
2706307,PALMEIRA DOS INDIOS,AL,4
2800308,ARACAJU,SE,4
2906303,CANAVIEIRAS,BA,4
2913606,ILHEUS,BA,4
2925303,PORTO SEGURO,BA,4
3101003,AGUAS VERMELHAS,MG,4
3107505,BOM JARDIM DE MINAS,MG,4
3109006,BRUMADINHO,MG,4
3118601,CONTAGEM,MG,4
3127701,GOVERNADOR VALADARES,MG,4
3136306,JOAO PINHEIRO,MG,4
3144805,NOVA LIMA,MG,4
3148707,PEDRA AZUL,MG,4
3156908,SACRAMENTO,MG,4
3159803,SANTA VITORIA,MG,4
3164308,SAO ROQUE DE MINAS,MG,4
3202009,DORES DO RIO PRETO,ES,4
3203320,MARATAIZES,ES,4
3203346,MARECHAL FLORIANO,ES,4
3203908,NOVA VENECIA,ES,4
3204054,PEDRO CANARIO,ES,4
3304201,RESENDE,RJ,4
4106803,CRUZ MACHADO,PR,4
4108304,FOZ DO IGUACU,PR,4
4109609,GUARATUBA,PR,4
4118204,PARANAGUA,PR,4
4202008,BALNEARIO CAMBORIU,SC,4
4303608,CAMBARA DO SUL,RS,4
4306601,DOM PEDRITO,RS,4
4307559,ESTACAO,RS,4
4311007,JAGUARAO,RS,4
4321477,TIRADENTES DO SUL,RS,4
5101803,BARRA DO GARCAS,MT,4
5104104,GUARANTA DO NORTE,MT,4
5104526,IPIRANGA DO NORTE,MT,4
5104542,ITANHANGA,MT,4
5107768,SANTA RITA DO TRIVELATO,MT,4
5108303,UNIAO DO SUL,MT,4
5200803,ALVORADA DO NORTE,GO,4
5204508,CALDAS NOVAS,GO,4
5206404,CRIXAS,GO,4
5207253,DOVERLANDIA,GO,4
5207600,FAZENDA NOVA,GO,4
5214051,MUNDO NOVO,GO,4
5217609,PLANALTINA,GO,4
5220207,SAO MIGUEL DO ARAGUAIA,GO,4
1100254,PRESIDENTE MEDICI,RO,3
1101450,PARECIS,RO,3
1101468,PIMENTEIRAS DO OESTE,RO,3
1200708,XAPURI,AC,3
1300144,Apuí,AM,3
1300706,BOCA DO ACRE,AM,3
1504976,NOVA IPIXUNA,PA,3
1505437,OURILANDIA DO NORTE,PA,3
1600303,MACAPA,AP,3
1600709,TARTARUGALZINHO,AP,3
1701002,ANANAS,TO,3
1702208,ARAGUATINS,TO,3
1707009,DIANOPOLIS,TO,3
1709302,GUARAI,TO,3
1712702,MATEIROS,TO,3
1716604,PEIXE,TO,3
1718204,PORTO NACIONAL,TO,3
1718808,SAMPAIO,TO,3
2101608,BARRA DO CORDA,MA,3
2108009,PASTOS BONS,MA,3
2112308,TUNTUM,MA,3
2207702,PARNAIBA,PI,3
2302305,BELA CRUZ,CE,3
2312908,SOBRAL,CE,3
2401107,AREIA BRANCA,RN,3
2403251,PARNAMIRIM,RN,3
2405108,JANDAIRA,RN,3
2405801,JOAO CAMARA,RN,3
2408003,MOSSORO,RN,3
2511905,PITIMBU,PB,3
2602001,BODOCO,PE,3
2705507,MURICI,AL,3
2804409,NEOPOLIS,SE,3
2804904,PACATUBA,SE,3
2903409,BELMONTE,BA,3
2905701,CAMACARI,BA,3
2911105,FORMOSA DO RIO PRETO,BA,3
2915304,ITAGIMIRIM,BA,3
2919553,LUIS EDUARDO MAGALHAES,BA,3
2925204,POJUCA,BA,3
2926400,RIACHO DE SANTANA,BA,3
2927309,SALINAS DA MARGARIDA,BA,3
2928901,SAO DESIDERIO,BA,3
2929107,SAO FELIPE,BA,3
3100609,AGUA BOA,MG,3
3104502,Arinos,MG,3
3105707,BARRA LONGA,MG,3
3106101,BELMIRO BRAGA,MG,3
3109451,CABECEIRA GRANDE,MG,3
3110004,CAETE,MG,3
3111408,CAMPO FLORIDO,MG,3
3114303,CARMO DO PARANAIBA,MG,3
3117306,CONCEICAO DAS ALAGOAS,MG,3
3123601,ELOI MENDES,MG,3
3127008,FRONTEIRA,MG,3
3131208,IPANEMA,MG,3
3133402,ITAPAGIPE,MG,3
3134202,ITUIUTABA,MG,3
3145208,NOVA SERRANA,MG,3
3148103,PATROCINIO,MG,3
3150703,PIRAJUBA,MG,3
3152501,POUSO ALEGRE,MG,3
3155801,RIO POMBA,MG,3
3168002,TAIOBEIRAS,MG,3
3168606,TEOFILO OTONI,MG,3
3170701,VARGINHA,MG,3
3171006,VAZANTE,MG,3
3201209,CACHOEIRO DE ITAPEMIRIM,ES,3
3204351,RIO BANANAL,ES,3
3205036,VARGEM ALTA,ES,3
3305901,TRAJANO DE MORAIS,RJ,3
3508702,CACONDE,SP,3
3518800,GUARULHOS,SP,3
3530607,MOGI DAS CRUZES,SP,3
3549805,SAO JOSE DO RIO PRETO,SP,3
3550704,SAO SEBASTIAO,SP,3
4106902,CURITIBA,PR,3
4109401,GUARAPUAVA,PR,3
4114005,MAMBORE,PR,3
4117602,PALMAS,PR,3
4125605,SAO MATEUS DO SUL,PR,3
4202057,BALNEARIO BARRA DO SUL,SC,3
4203204,CAMBORIU,SC,3
4204301,CONCORDIA,SC,3
4206009,GOVERNADOR CELSO RAMOS,SC,3
4209409,LAGUNA,SC,3
4209706,LEBON REGIS,SC,3
4209805,LEOBERTO LEAL,SC,3
4210035,LUZERNA,SC,3
4210704,MATOS COSTA,SC,3
4213203,POMERODE,SC,3
4314407,PELOTAS,RS,3
4316907,SANTA MARIA,RS,3
4317301,SANTA VITORIA DO PALMAR,RS,3
4318200,SAO FRANCISCO DE PAULA,RS,3
4318309,SAO GABRIEL,RS,3
4318507,SAO JOSE DO NORTE,RS,3
5003256,COSTA RICA,MS,3
5005004,JARDIM,MS,3
5005152,JUTI,MS,3
5005707,NAVIRAI,MS,3
5006002,NOVA ALVORADA DO SUL,MS,3
5007695,SAO GABRIEL DO OESTE,MS,3
5007901,SIDROLANDIA,MS,3
5101001,ARAGUAIANA,MT,3
5103106,COCALINHO,MT,3
5104559,ITAUBA,MT,3
5105507,VILA BELA DA SANTISSIMA TRINDADE,MT,3
5106505,POCONE,MT,3
5106653,PONTAL DO ARAGUAIA,MT,3
5107701,ROSARIO OESTE,MT,3
5107875,SAPEZAL,MT,3
5107883,SERRA NOVA DOURADA,MT,3
5108956,NOVA MONTE VERDE,MT,3
5205109,CATALAO,GO,3
5205901,CORUMBAIBA,GO,3
5208004,FORMOSA,GO,3
5211503,ITUMBIARA,GO,3
5214606,NIQUELANDIA,GO,3
5218607,RIALMA,GO,3
5218805,RIO VERDE,GO,3
5220405,SAO SIMAO,GO,3
1100015,ALTA FLORESTA D'OESTE,RO,2
1100031,CABIXI,RO,2
1100106,GUAJARA-MIRIM,RO,2
1101492,SAO FRANCISCO DO GUAPORE,RO,2
1301605,FONTE BOA,AM,2
1302504,MANACAPURU,AM,2
1303205,NOVO AIRAO,AM,2
1304062,TABATINGA,AM,2
1400100,BOA VISTA,RR,2
1400159,BONFIM,RR,2
1400308,MUCAJAI,RR,2
1400605,SAO LUIZ,RR,2
1500347,AGUA AZUL DO NORTE,PA,2
1500404,ALENQUER,PA,2
1501253,BANNACH,PA,2
1501725,BRASIL NOVO,PA,2
1501782,BREU BRANCO,PA,2
1502772,CURIONOPOLIS,PA,2
1503309,IGARAPE-MIRI,PA,2
1503606,Itaituba,PA,2
1503804,JACUNDA,PA,2
1505106,OBIDOS,PA,2
1506112,QUATIPURU,PA,2
1507706,SAO SEBASTIAO DA BOA VISTA,PA,2
1507904,SOURE,PA,2
1508001,TOME-ACU,PA,2
1508209,VIGIA,PA,2
1703842,CAMPOS LINDOS,TO,2
1706506,DARCINOPOLIS,TO,2
1707702,FILADELFIA,TO,2
1710706,ITAGUATINS,TO,2
1713205,MIRACEMA DO TOCANTINS,TO,2
1715507,OLIVEIRA DE FATIMA,TO,2
1717206,PIRAQUE,TO,2
1717503,PIUM,TO,2
1718451,PUGMIL,TO,2
1718501,RECURSOLANDIA,TO,2
