uf,cd_municipio_tse,ds_cargo,sg_partido,nm_candidato,nm_urna_candidato,nr_candidato,e,st,vap,pvap,nm_ue,sq_candidato,nr_partido,nm_coligacao,ds_composicao_coligacao,ds_genero,ds_grau_instrucao,ds_estado_civil,ds_cor_raca,ds_ocupacao,vr_despesa_max_campanha,st_reeleicao,muni_id,muni_nm_clean,muni_nm
MT,91057,VEREADOR,MDB,RAFAEL TEWAHYTE KARAJA,CACIQUE RAFAEL TEWA,15678,s,Eleito por QP,150,"6,82",LUCIARA,110002073811,15,PARTIDO ISOLADO,MDB,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),INDÍGENA,OUTROS,NA,NA,5105309,LUCIARA,NA
MT,91057,VEREADOR,PP,ANA CLAUDIA PEREIRA DE SOUZA,CLAUDIA KANELA,11111,s,Eleito por QP,103,"4,69",LUCIARA,110002007293,11,PARTIDO ISOLADO,PP,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),INDÍGENA,VEREADOR,NA,NA,5105309,LUCIARA,NA
MT,91057,VEREADOR,UNIÃO,RAI SILVA DOS SANTOS,RAI KANELA,44567,s,Eleito por QP,122,"5,55",LUCIARA,110002007773,44,PARTIDO ISOLADO,UNIÃO,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS,NA,NA,5105309,LUCIARA,NA
MT,90964,VEREADOR,UNIÃO,ANDERSON SIRUIA,CACIQUE ANDERSON,44111,s,Eleito por QP,191,"6,47",NOVA NAZARÉ,110002177633,44,PARTIDO ISOLADO,UNIÃO,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,OUTROS,NA,NA,5106174,NOVA NAZARE,NA
MT,89834,VEREADOR,REPUBLICANOS,SILAS TSEREBURA,SILAS SIMEONY,10777,s,Eleito por média,305,"2,51",PARANATINGA,110002129611,10,PARTIDO ISOLADO,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),INDÍGENA,OUTROS,NA,NA,5106307,PARANATINGA,NA
MT,90344,VEREADOR,MDB,VALDINEI KUIWIRA KAMIKIAWA,TAKESHI,15234,s,Eleito por média,67,"2,47",PLANALTO DA SERRA,110002371892,15,PARTIDO ISOLADO,MDB,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,TRABALHADOR RURAL,NA,NA,5106455,PLANALTO DA SERRA,NA
MT,89960,VEREADOR,MDB,ISAC KINKIN ZORÓ,ISAC ZORÓ,15222,s,Eleito por QP,165,"6,50",RONDOLÂNDIA,110002053581,15,PARTIDO ISOLADO,MDB,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,VEREADOR,NA,NA,5107578,RONDOLANDIA,NA
MT,89960,VEREADOR,MDB,ALFREDO SEP KIAT ZORÓ,KUNAM ZORÓ,15789,s,Eleito por média,112,"4,41",RONDOLÂNDIA,110002053574,15,PARTIDO ISOLADO,MDB,MASCULINO,SUPERIOR COMPLETO,CASADO(A),INDÍGENA,PROFESSOR DE ENSINO FUNDAMENTAL,NA,NA,5107578,RONDOLANDIA,NA
MT,89843,VEREADOR,REPUBLICANOS,ALEX SEREMAIHI SEREDII SARARAINHA,ALEX SEREDI,10111,s,Eleito por QP,155,"6,80",SANTO ANTÔNIO DO LESTE,110002122450,10,PARTIDO ISOLADO,REPUBLICANOS,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,OUTROS,NA,NA,5107792,SANTO ANTONIO DO LESTE,NA
PA,04197,VEREADOR,MDB,ROSIMAR BATISTA DA PAZ,ROSIMAR SATERÊ,15538,s,Eleito por média,294,"2,94",AVEIRO,140002195004,15,PARTIDO ISOLADO,MDB,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,SERVIDOR PÚBLICO MUNICIPAL,NA,NA,1501006,AVEIRO,NA
