codigo_ibge,municipio,uf,data,ano_evento,descricao_tipologia,grupo_de_desastre,status,dh_mortos,dh_feridos,dh_enfermos,dh_desabrigados,dh_desalojados,dh_total_danos_humanos,dh_outros_afetados,cobrade,populacao,dh_desaparecidos
1200401,Rio Branco,AC,1995-03-20T00:00:00Z,1995,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2104008,Esperantinópolis,MA,1995-04-05T00:00:00Z,1995,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2108207,Pedreiras,MA,1995-04-11T00:00:00Z,1995,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2111409,São Luís Gonzaga do Maranhão,MA,1995-04-18T00:00:00Z,1995,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2101202,Bacabal,MA,1995-04-19T00:00:00Z,1995,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2109601,Rosário,MA,1995-04-19T00:00:00Z,1995,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2108108,Paulo Ramos,MA,1995-04-20T00:00:00Z,1995,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2105609,Joselândia,MA,1995-04-24T00:00:00Z,1995,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2109106,Presidente Dutra,MA,1995-04-24T00:00:00Z,1995,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2100956,Arame,MA,1995-04-25T00:00:00Z,1995,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2101004,Arari,MA,1995-04-27T00:00:00Z,1995,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2103604,Coroatá,MA,1995-05-02T00:00:00Z,1995,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1502509,Chaves,PA,1995-05-10T00:00:00Z,1995,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1600238,Ferreira Gomes,AP,1995-05-26T00:00:00Z,1995,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2108504,Pindaré-Mirim,MA,1995-05-29T00:00:00Z,1995,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1600600,Santana,AP,1995-06-05T00:00:00Z,1995,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2112308,Tuntum,MA,1995-08-14T00:00:00Z,1995,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1702208,Araguatins,TO,1995-09-06T00:00:00Z,1995,Incêndio Florestal,Climatológico,Registro,0,0,0,8,34,155,110,NA,NA,NA
1718550,Riachinho,TO,1995-09-21T00:00:00Z,1995,Incêndio Florestal,Climatológico,Registro,0,0,0,14,0,14,0,NA,NA,NA
5105903,Nobres,MT,1995-12-09T00:00:00Z,1995,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1705508,Colinas do Tocantins,TO,1995-12-20T00:00:00Z,1995,Erosão,Outros,Registro,0,0,0,0,0,0,0,NA,NA,NA
5108303,União do Sul,MT,1995-12-26T00:00:00Z,1995,Erosão,Outros,Registro,0,0,0,0,0,0,0,NA,NA,NA
1200500,Sena Madureira,AC,1996-02-02T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
5101902,Brasnorte,MT,1996-02-14T00:00:00Z,1996,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
5102678,Campo Verde,MT,1996-02-14T00:00:00Z,1996,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
5102637,Campo Novo do Parecis,MT,1996-03-06T00:00:00Z,1996,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
5105176,Juruena,MT,1996-03-07T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2108306,Penalva,MA,1996-03-11T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1100064,Colorado do Oeste,RO,1996-03-11T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1200401,Rio Branco,AC,1996-03-12T00:00:00Z,1996,Erosão,Outros,Registro,0,0,0,0,0,0,0,NA,NA,NA
2105302,Imperatriz,MA,1996-03-14T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
5101407,Aripuanã,MT,1996-03-15T00:00:00Z,1996,Inundações,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1501725,Brasil Novo,PA,1996-03-18T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1100122,Ji-Paraná,RO,1996-03-19T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2108207,Pedreiras,MA,1996-03-27T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2108009,Pastos Bons,MA,1996-04-09T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2101202,Bacabal,MA,1996-04-10T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2109809,Santa Helena,MA,1996-04-15T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2107704,Paraibano,MA,1996-04-22T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
1500602,Altamira,PA,1996-04-25T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2112803,Viana,MA,1996-04-28T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2100204,Alcântara,MA,1996-04-30T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2104305,Godofredo Viana,MA,1996-05-01T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2107605,Palmeirândia,MA,1996-05-01T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2110039,Santa Luzia do Paruá,MA,1996-05-01T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2112407,Turiaçu,MA,1996-05-01T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
2101004,Arari,MA,1996-05-03T00:00:00Z,1996,Enxurradas,Hidrológico,Registro,0,0,0,0,0,0,0,NA,NA,NA
