code_muni,name_muni,code_state,abbrev_state,sg_uf,nome_municipio.x,sg_partido_prefeito,icat_prefeito,sg_ue,nome_municipio.y,uf,icat_medio,cat_medio_camara,dist,dist_abs,cat_prefeito,sintonia,sintonia_num
1100304,Vilhena,11,RO,RO,VILHENA,PODE,20.7,00132,VILHENA,RO,16.184615384615384,1. péssimo,4.515384615384615,4.515384615384615,1. péssimo,1. Ambos péssimos,1
1100320,São Miguel Do Guaporé,11,RO,RO,SÃO MIGUEL DO GUAPORÉ,PODE,20.7,00418,SAO MIGUEL DO GUAPORE,RO,17.58,1. péssimo,3.120000000000001,3.120000000000001,1. péssimo,1. Ambos péssimos,1
1100338,Nova Mamoré,11,RO,RO,NOVA MAMORÉ,PL,7.85,00434,NOVA MAMORE,RO,19.631818181818183,1. péssimo,-11.781818181818185,11.781818181818185,1. péssimo,1. Ambos péssimos,1
1100346,Alvorada D'oeste,11,RO,RO,ALVORADA DO OESTE,UNIÃO,15.68,00337,ALVORADA D'OESTE,RO,14.743333333333332,1. péssimo,0.9366666666666674,0.9366666666666674,1. péssimo,1. Ambos péssimos,1
1100379,Alto Alegre Dos Parecis,11,RO,RO,ALTO ALEGRE DOS PARECIS,UNIÃO,15.68,00736,ALTO ALEGRE DOS PARECIS,RO,15.453333333333331,1. péssimo,0.22666666666666657,0.22666666666666657,1. péssimo,1. Ambos péssimos,1
1100403,Alto Paraíso,11,RO,RO,ALTO PARAÍSO,REPUBLICANOS,14.1,00639,ALTO PARAISO,RO,15.168888888888889,1. péssimo,-1.068888888888889,1.068888888888889,1. péssimo,1. Ambos péssimos,1
1100452,Buritis,11,RO,RO,BURITIS,PL,7.85,00779,BURITIS,RO,14.26909090909091,1. péssimo,-6.41909090909091,6.41909090909091,1. péssimo,1. Ambos péssimos,1
1100502,Novo Horizonte Do Oeste,11,RO,RO,NOVO HORIZONTE DO OESTE,UNIÃO,15.68,00515,NOVO HORIZONTE DO OESTE,RO,16.63888888888889,1. péssimo,-0.9588888888888896,0.9588888888888896,1. péssimo,1. Ambos péssimos,1
1100601,Cacaulândia,11,RO,RO,CACAULÂNDIA,PL,7.85,00620,CACAULANDIA,RO,14.744444444444444,1. péssimo,-6.894444444444446,6.894444444444446,1. péssimo,1. Ambos péssimos,1
1100700,Campo Novo De Rondônia,11,RO,RO,CAMPO NOVO DE RONDÔNIA,UNIÃO,15.68,00671,CAMPO NOVO DE RONDONIA,RO,15.975555555555555,1. péssimo,-0.29555555555555557,0.29555555555555557,1. péssimo,1. Ambos péssimos,1
1100809,Candeias Do Jamari,11,RO,RO,CANDEIAS DO JAMARI,REPUBLICANOS,14.1,00477,CANDEIAS DO JAMARI,RO,19.26181818181818,1. péssimo,-5.161818181818182,5.161818181818182,1. péssimo,1. Ambos péssimos,1
1100908,Castanheiras,11,RO,RO,CASTANHEIRAS,PP,16.94,00531,CASTANHEIRAS,RO,24.12444444444445,1. péssimo,-7.184444444444445,7.184444444444445,1. péssimo,1. Ambos péssimos,1
1100924,Chupinguaia,11,RO,RO,CHUPINGUAIA,PP,16.94,00809,CHUPINGUAIA,RO,16.31875,1. péssimo,0.6212499999999999,0.6212499999999999,1. péssimo,1. Ambos péssimos,1
1100940,Cujubim,11,RO,RO,CUJUBIM,UNIÃO,15.68,00680,CUJUBIM,RO,16.232222222222223,1. péssimo,-0.5522222222222233,0.5522222222222233,1. péssimo,1. Ambos péssimos,1
1101005,Governador Jorge Teixeira,11,RO,RO,GOVERNADOR JORGE TEIXEIRA,PP,16.94,00612,GOVERNADOR JORGE TEIXEIRA,RO,17.76888888888889,1. péssimo,-0.828888888888887,0.828888888888887,1. péssimo,1. Ambos péssimos,1
1101104,Itapuã Do Oeste,11,RO,RO,ITAPUÃ DO OESTE,AVANTE,33.86,00493,ITAPUA DO OESTE,RO,21.615555555555556,1. péssimo,12.244444444444444,12.244444444444444,2. ruim,2. Péssimo e ruim,2
1101203,Ministro Andreazza,11,RO,RO,MINISTRO ANDREAZZA,PSD,23.02,00604,MINISTRO ANDREAZZA,RO,16.33222222222222,1. péssimo,6.687777777777779,6.687777777777779,1. péssimo,1. Ambos péssimos,1
1101302,Mirante Da Serra,11,RO,RO,MIRANTE DA SERRA,REPUBLICANOS,14.1,00574,MIRANTE DA SERRA,RO,39.32,2. ruim,-25.22,25.22,1. péssimo,2. Péssimo e ruim,2
1101401,Monte Negro,11,RO,RO,MONTE NEGRO,PSD,23.02,00663,MONTE NEGRO,RO,17.715555555555557,1. péssimo,5.304444444444442,5.304444444444442,1. péssimo,1. Ambos péssimos,1
1101435,Nova União,11,RO,RO,NOVA UNIÃO,PSD,23.02,00744,NOVA UNIAO,RO,24.38,1. péssimo,-1.3599999999999994,1.3599999999999994,1. péssimo,1. Ambos péssimos,1
1101450,Parecis,11,RO,RO,PARECIS,UNIÃO,15.68,00701,PARECIS,RO,16.31111111111111,1. péssimo,-0.6311111111111103,0.6311111111111103,1. péssimo,1. Ambos péssimos,1
1101468,Pimenteiras Do Oeste,11,RO,RO,PIMENTEIRAS DO OESTE,UNIÃO,15.68,00787,PIMENTEIRAS DO OESTE,RO,15.526666666666667,1. péssimo,0.15333333333333243,0.15333333333333243,1. péssimo,1. Ambos péssimos,1
1101476,Primavera De Rondônia,11,RO,RO,PRIMAVERA DE RONDÔNIA,PL,7.85,00728,PRIMAVERA DE RONDONIA,RO,15.612222222222222,1. péssimo,-7.762222222222222,7.762222222222222,1. péssimo,1. Ambos péssimos,1
1101484,São Felipe D'oeste,11,RO,RO,SÃO FELIPE D'OESTE,PSD,23.02,00710,SAO FELIPE D'OESTE,RO,19.18777777777778,1. péssimo,3.832222222222221,3.832222222222221,1. péssimo,1. Ambos péssimos,1
1101492,São Francisco Do Guaporé,11,RO,RO,SÃO FRANCISCO DO GUAPORÉ,PL,7.85,00795,SAO FRANCISCO DO GUAPORE,RO,22.946666666666665,1. péssimo,-15.096666666666666,15.096666666666666,1. péssimo,1. Ambos péssimos,1
1101500,Seringueiras,11,RO,RO,SERINGUEIRAS,UNIÃO,15.68,00582,SERINGUEIRAS,RO,16.67111111111111,1. péssimo,-0.9911111111111096,0.9911111111111096,1. péssimo,1. Ambos péssimos,1
1101559,Teixeirópolis,11,RO,RO,TEIXEIRÓPOLIS,MDB,17.41,00752,TEIXEIROPOLIS,RO,36.068888888888885,2. ruim,-18.658888888888885,18.658888888888885,1. péssimo,2. Péssimo e ruim,2
1101609,Theobroma,11,RO,RO,THEOBROMA,PSD,23.02,00590,THEOBROMA,RO,17.328888888888887,1. péssimo,5.691111111111113,5.691111111111113,1. péssimo,1. Ambos péssimos,1
1101708,Urupá,11,RO,RO,URUPÁ,PL,7.85,00566,URUPA,RO,15.62375,1. péssimo,-7.77375,7.77375,1. péssimo,1. Ambos péssimos,1
1101757,Vale Do Anari,11,RO,RO,VALE DO ANARI,MDB,17.41,00698,VALE DO ANARI,RO,20.797777777777775,1. péssimo,-3.387777777777778,3.387777777777778,1. péssimo,1. Ambos péssimos,1
1101807,Vale Do Paraíso,11,RO,RO,VALE DO PARAÍSO,PSD,23.02,00558,VALE DO PARAISO,RO,16.043333333333333,1. péssimo,6.976666666666667,6.976666666666667,1. péssimo,1. Ambos péssimos,1
1200013,Acrelândia,12,AC,AC,ACRELÂNDIA,REPUBLICANOS,14.1,01120,ACRELANDIA,AC,19.126666666666665,1. péssimo,-5.0266666666666655,5.0266666666666655,1. péssimo,1. Ambos péssimos,1
1200054,Assis Brasil,12,AC,AC,ASSIS BRASIL,PP,16.94,01570,ASSIS BRASIL,AC,29.135555555555555,2. ruim,-12.195555555555554,12.195555555555554,1. péssimo,2. Péssimo e ruim,2
1200104,Brasiléia,12,AC,AC,BRASILÉIA,PP,16.94,01058,BRASILEIA,AC,21.792727272727273,1. péssimo,-4.852727272727272,4.852727272727272,1. péssimo,1. Ambos péssimos,1
1200138,Bujari,12,AC,AC,BUJARI,PDT,56.75,01007,BUJARI,AC,32.593333333333334,2. ruim,24.156666666666663,24.156666666666663,3. regular,4. Ruim e regular,4
1200179,Capixaba,12,AC,AC,CAPIXABA,UNIÃO,15.68,01015,CAPIXABA,AC,14.096666666666666,1. péssimo,1.583333333333334,1.583333333333334,1. péssimo,1. Ambos péssimos,1
1200203,Cruzeiro Do Sul,12,AC,AC,CRUZEIRO DO SUL,PP,16.94,01074,CRUZEIRO DO SUL,AC,21.90571428571429,1. péssimo,-4.965714285714284,4.965714285714284,1. péssimo,1. Ambos péssimos,1
1200252,Epitaciolândia,12,AC,AC,EPITACIOLÂNDIA,PL,7.85,01112,EPITACIOLANDIA,AC,21.51363636363636,1. péssimo,-13.663636363636362,13.663636363636362,1. péssimo,1. Ambos péssimos,1
1200302,Feijó,12,AC,AC,FEIJÓ,REPUBLICANOS,14.1,01139,FEIJO,AC,25.052307692307693,2. ruim,-10.952307692307691,10.952307692307691,1. péssimo,2. Péssimo e ruim,2
1200328,Jordão,12,AC,AC,JORDÃO,PP,16.94,01104,JORDAO,AC,30.453333333333333,2. ruim,-13.513333333333332,13.513333333333332,1. péssimo,2. Péssimo e ruim,2
1200336,Mâncio Lima,12,AC,AC,MÂNCIO LIMA,PP,16.94,01090,MANCIO LIMA,AC,16.919090909090908,1. péssimo,0.02090909090909321,0.02090909090909321,1. péssimo,1. Ambos péssimos,1
1200344,Manoel Urbano,12,AC,AC,MANOEL URBANO,PP,16.94,01554,MANOEL URBANO,AC,17.94,1. péssimo,-1,1,1. péssimo,1. Ambos péssimos,1
1200351,Marechal Thaumaturgo,12,AC,AC,MARECHAL THAUMATURGO,PP,16.94,01040,MARECHAL THAUMATURGO,AC,29.812727272727273,2. ruim,-12.872727272727271,12.872727272727271,1. péssimo,2. Péssimo e ruim,2
1200385,Plácido De Castro,12,AC,AC,PLÁCIDO DE CASTRO,PP,16.94,01511,PLACIDO DE CASTRO,AC,18.10727272727273,1. péssimo,-1.1672727272727244,1.1672727272727244,1. péssimo,1. Ambos péssimos,1
1200393,Porto Walter,12,AC,AC,PORTO WALTER,PP,16.94,01066,PORTO WALTER,AC,17.695555555555558,1. péssimo,-0.7555555555555564,0.7555555555555564,1. péssimo,1. Ambos péssimos,1
1200401,Rio Branco,12,AC,AC,RIO BRANCO,PL,7.85,01392,RIO BRANCO,AC,18.89190476190476,1. péssimo,-11.041904761904762,11.041904761904762,1. péssimo,1. Ambos péssimos,1
1200427,Rodrigues Alves,12,AC,AC,RODRIGUES ALVES,PSD,23.02,01082,RODRIGUES ALVES,AC,17.8,1. péssimo,5.219999999999999,5.219999999999999,1. péssimo,1. Ambos péssimos,1
1200435,Santa Rosa Do Purus,12,AC,AC,SANTA ROSA DO PURUS,MDB,17.41,01031,SANTA ROSA DO PURUS,AC,25.851111111111113,2. ruim,-8.441111111111113,8.441111111111113,1. péssimo,2. Péssimo e ruim,2
