sg_ue,cd_municipio_ibge,nome_municipio,uf,icat_medio,cat_medio_camara
00744,1101435,NOVA UNIAO,RO,24.38,1. péssimo
00752,1101559,TEIXEIROPOLIS,RO,36.068888888888885,2. ruim
00779,1100452,BURITIS,RO,14.26909090909091,1. péssimo
00787,1101468,PIMENTEIRAS DO OESTE,RO,15.526666666666667,1. péssimo
00795,1101492,SAO FRANCISCO DO GUAPORE,RO,22.946666666666665,1. péssimo
00809,1100924,CHUPINGUAIA,RO,16.31875,1. péssimo
01007,1200138,BUJARI,AC,32.593333333333334,2. ruim
01015,1200179,CAPIXABA,AC,14.096666666666666,1. péssimo
01023,1200807,PORTO ACRE,AC,17.193333333333335,1. péssimo
01031,1200435,SANTA ROSA DO PURUS,AC,25.851111111111113,2. ruim
01040,1200351,MARECHAL THAUMATURGO,AC,29.812727272727273,2. ruim
01058,1200104,BRASILEIA,AC,21.792727272727273,1. péssimo
01066,1200393,PORTO WALTER,AC,17.695555555555558,1. péssimo
01074,1200203,CRUZEIRO DO SUL,AC,21.905714285714286,1. péssimo
01082,1200427,RODRIGUES ALVES,AC,17.8,1. péssimo
01090,1200336,MANCIO LIMA,AC,16.919090909090908,1. péssimo
01104,1200328,JORDAO,AC,30.453333333333333,2. ruim
01112,1200252,EPITACIOLANDIA,AC,21.513636363636362,1. péssimo
01120,1200013,ACRELANDIA,AC,19.126666666666665,1. péssimo
01139,1200302,FEIJO,AC,25.052307692307693,2. ruim
01392,1200401,RIO BRANCO,AC,18.89190476190476,1. péssimo
01457,1200500,SENA MADUREIRA,AC,16.53076923076923,1. péssimo
01473,1200609,TARAUACA,AC,41.27230769230769,2. ruim
01490,1200708,XAPURI,AC,24.80666666666667,1. péssimo
01511,1200385,PLACIDO DE CASTRO,AC,18.107272727272726,1. péssimo
01538,1200450,SENADOR GUIOMARD,AC,17.41090909090909,1. péssimo
01554,1200344,MANOEL URBANO,AC,17.94,1. péssimo
01570,1200054,ASSIS BRASIL,AC,29.135555555555555,2. ruim
02003,1300144,APUI,AM,15.209090909090909,1. péssimo
02011,1303205,NOVO AIRAO,AM,17.86888888888889,1. péssimo
02020,1301654,GUAJARA,AM,15.167777777777777,1. péssimo
02038,1300102,ANORI,AM,17.472727272727273,1. péssimo
02046,1301159,CAREIRO DA VARZEA,AM,15.291818181818181,1. péssimo
02054,1300201,ATALAIA DO NORTE,AM,22.779090909090908,1. péssimo
02070,1300300,AUTAZES,AM,19.543333333333333,1. péssimo
02097,1300409,BARCELOS,AM,27.646363636363635,2. ruim
02119,1300508,BARREIRINHA,AM,23.900909090909092,1. péssimo
02135,1300607,BENJAMIN CONSTANT,AM,25.64076923076923,2. ruim
