projeto_responsavel,natureza,valor_do_projeto,valor_do_apoio,local,situacao,organizacao,url_proj,data_da_aprovacao,data_da_contratacao,data_da_conclusao
Babaçu Livre Associação em Áreas de Assentamento no estado do Maranhão (Assema),Terceiro Setor,13058721.52,13058721.52,MA,contratado,Associação em Áreas de Assentamento no estado do Maranhão (Assema),https://www.fundoamazonia.gov.br/pt/projeto/Babacu-Livre/,2023-08-03,2023-09-22,NA
Bolsa Floresta Fundação Amazonas Sustentável (FAS),Terceiro Setor,29934645,19107547.89,AM,concluido,Fundação Amazonas Sustentável (FAS),https://www.fundoamazonia.gov.br/pt/projeto/Bolsa-Floresta-00001/,2009-11-24,2010-03-31,2015-12-31
Áreas Protegidas da Amazônia (Arpa) - Fase 2 Fundo Brasileiro para a Biodiversidade (Funbio),Terceiro Setor,164294880,19949058.91,"AC, AP, AM, MA, MT, PA, RO, RR, TO",concluido,Fundo Brasileiro para a Biodiversidade (Funbio)           ,https://www.fundoamazonia.gov.br/pt/projeto/Areas-Protegidas-da-Amazonia-Arpa-Fase-2/,2009-12-08,2010-04-22,2015-12-31
Fundo Dema Federação de Órgãos para Assistência Social e Educacional (Fase),Terceiro Setor,7499641,6601699.07,PA,concluido,Federação de Órgãos para Assistência Social e Educacional (Fase),https://www.fundoamazonia.gov.br/pt/projeto/Fundo-Dema/,2011-03-15,2011-06-14,2021-12-31
Disseminação e Aprimoramento das Técnicas de Manejo Florestal Sustentável Instituto Floresta Tropical (IFT),Terceiro Setor,12498000,7449000,"AM, PA, RO",concluido,Instituto Floresta Tropical (IFT),https://www.fundoamazonia.gov.br/pt/projeto/Disseminacao-e-Aprimoramento-das-Tecnicas-de-Manejo-Florestal-Sustentavel/,2010-11-23,2011-04-15,2015-12-31
Fortalecimento da Gestão Territorial e Ambiental de Terras Indígenas na Amazônia The Nature Conservancy do Brasil (TNC Brasil),Terceiro Setor,16308105.98,15487682.61,"AP, PA",concluido,The Nature Conservancy do Brasil (TNC Brasil),https://www.fundoamazonia.gov.br/pt/projeto/Fortalecimento-da-Gestao-Territorial-e-Ambiental-de-Terras-Indigenas-na-Amazonia/,2014-09-16,2014-11-18,2020-07-31
Pesca Sustentável WWF-Brasil,Terceiro Setor,3205943,3205943,AC,concluido,WWF-Brasil,https://www.fundoamazonia.gov.br/pt/projeto/Pesca-Sustentavel/,2013-12-30,2014-04-17,2017-12-31
Gestão Socioambiental de Municípios do Pará Instituto do Homem e Meio Ambiente da Amazônia (Imazon),Terceiro Setor,9736473,9736473,PA,concluido,Instituto do Homem e Meio Ambiente da Amazônia (Imazon),https://www.fundoamazonia.gov.br/pt/projeto/Gestao-Socioambiental-de-Municipios-do-Para/,NA,2010-07-29,2014-09-30
Conhecer para Conservar Museu da Amazônia (Musa),Terceiro Setor,10394822.12,9984629,AM,concluido,Museu da Amazônia (Musa),https://www.fundoamazonia.gov.br/pt/projeto/Conhecer-para-Conservar/,2010-11-30,2011-09-01,2021-12-31
Virada Verde The Nature Conservancy do Brasil (TNC Brasil),Terceiro Setor,19200000,16000000,"MT, PA",concluido,The Nature Conservancy do Brasil (TNC Brasil),https://www.fundoamazonia.gov.br/pt/projeto/Virada-Verde/,2009-12-01,2010-04-13,2014-03-31
Tapajós Sustentável Conservation International do Brasil (CI-Brasil),Terceiro Setor,18835139,18835139,PA,contratado,Conservation International do Brasil (CI-Brasil),https://www.fundoamazonia.gov.br/pt/projeto/Tapajos-Sustentavel/,2017-10-23,2017-12-18,NA
Floresta para Sempre Instituto do Homem e Meio Ambiente da Amazônia (Imazon),Terceiro Setor,14293105,8004487.8,PA,contratado,Instituto do Homem e Meio Ambiente da Amazônia (Imazon),https://www.fundoamazonia.gov.br/pt/projeto/Floresta-para-Sempre/,2017-12-11,2018-03-15,NA
Mato Grosso Sustentável Estado de Mato Grosso,Estados,32925406.459999997,32925406.459999997,MT,contratado,Estado de Mato Grosso,https://www.fundoamazonia.gov.br/pt/projeto/Mato-Grosso-Sustentavel/,2013-12-03,2014-07-03,NA
Amazônia SAR União Federal - Centro Gestor e Operacional do Sistema de Proteção da Amazônia (Censipam),União,63923626,47958727.94,"AC, AP, AM, MA, MT, PA, RO, RR, TO",contratado,União Federal - Centro Gestor e Operacional do Sistema de Proteção da Amazônia (Censipam),https://www.fundoamazonia.gov.br/pt/projeto/Amazonia-SAR/,2015-06-23,2015-07-20,NA
Projeto de Desenvolvimento Socioeconômico Ambiental Integrado Estado de Rondônia - Secretaria de Estado de Desenvolvimento Ambiental (Sedam-RO),Estados,35576602,31227392.4,RO,contratado,Estado de Rondônia - Secretaria de Estado de Desenvolvimento Ambiental (Sedam-RO),https://www.fundoamazonia.gov.br/pt/projeto/Projeto-de-Desenvolvimento-Socioeconomico-Ambiental-Integrado/,2014-01-21,2014-03-14,NA
Amazônia Agroecológica Federação de Órgãos para Assistência Social e Educacional (Fase),Terceiro Setor,16611508.350000001,16611508.350000001,"MT, PA",contratado,Federação de Órgãos para Assistência Social e Educacional (Fase),https://www.fundoamazonia.gov.br/pt/projeto/Amazonia-Agroecologica/,2018-06-13,2018-09-17,NA
Floresta Ativa Tapajós Centro de Estudos Avançados de Promoção Social e Ambiental – CEAPS (Projeto Saúde e Alegria),Terceiro Setor,12493011,12493011,PA,contratado,Centro de Estudos Avançados de Promoção Social e Ambiental – CEAPS (Projeto Saúde e Alegria),https://www.fundoamazonia.gov.br/pt/projeto/Floresta-Ativa-Tapajos/,2018-05-02,2018-07-24,NA
Bolsa Floresta+ Fundação Amazonas Sustentável (FAS),Terceiro Setor,31518490,31518490,AM,contratado,Fundação Amazonas Sustentável (FAS),https://www.fundoamazonia.gov.br/pt/projeto/Bolsa-Floresta/,2016-04-05,2016-05-25,NA
Legado Integrado da Região Amazônica (Lira) Instituto de Pesquisas Ecológicas (IPÊ),Terceiro Setor,61350000,45000000,"AC, AM, MT, PA, RO",contratado,Instituto de Pesquisas Ecológicas (IPÊ),https://www.fundoamazonia.gov.br/pt/projeto/Legado-Integrado-da-Regiao-Amazonica-Lira/,2018-10-30,2018-12-13,NA
"Pequenos Projetos Ecossociais na Amazônia – Fase II Instituto Sociedade, População e Natureza (ISPN)",Terceiro Setor,25934973.53,22766000,"MA, MT, TO",contratado,"Instituto Sociedade, População e Natureza (ISPN)",https://www.fundoamazonia.gov.br/pt/projeto/Pequenos-Projetos-Ecossociais-na-Amazonia-Fase-II/,2018-09-18,2018-11-29,NA
CAR Amazonas Estado do Amazonas,Estados,29867722,29867722,AM,contratado,Estado do Amazonas,https://www.fundoamazonia.gov.br/pt/projeto/CAR-Amazonas/,2018-10-01,2019-02-28,NA
Rumo ao Desmatamento Ilegal Zero no Acre Estado do Acre - Secretaria de Estado de Planejamento (SEPLAN),Estados,97814173,97814173,AC,contratado,Estado do Acre - Secretaria de Estado de Planejamento (SEPLAN),https://www.fundoamazonia.gov.br/pt/projeto/Rumo-ao-Desmatamento-Ilegal-Zero-no-Acre/,2024-02-29,2024-04-11,NA
Profisc I - B Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (Ibama),União,140264000,140264000,"AC, AP, AM, MA, MT, PA, RO, RR, TO",contratado,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (Ibama),https://www.fundoamazonia.gov.br/pt/projeto/Profisc-I-B/,2018-03-19,2018-04-05,NA
