ano,reserva_1p,reserva_total,exportacao,consumo,cenario
2033,4335578233,6663878233,404585505,544750632,3
2034,3386242096,5714542096,390947792,510345329,3
2035,2484948975,4813248975,377310078,493142677,3
2036,1614496220,3942796220,350034651,475940026,3
2037,788521543,3116821543,336396937,441534723,3
2038,10589883,2338889883,322759224,424332071,3
2039,-736501412,1591798588,309121510,407129420,3
2040,-1452752342,875547658,295483796,372724117,3
2041,-2120960255,207339745,281846083,355521465,3
2042,-2758327803,-430027803,268208369,338318814,3
2043,-3364854986,-1036554986,240932942,321116162,3
2044,-3926904090,-1598604090,227295228,303913511,3
2045,-4458112829,-2129812829,213657514,286710859,3
2046,-4958481202,-2630181202,200019801,269508207,3
2047,-5428009210,-3099709210,186382087,235102904,3
2048,-5849494201,-3521194201,172744373,217900253,3
2049,-6240138827,-3911838827,159106660,200697601,3
2050,-6599943088,-4271643088,145468946,183494950,3
2023,15894000000,18222300000,0,1186250000,4
2024,14707750000,17036050000,0,1211800000,4
2025,13495950000,15824250000,0,1215450000,4
2026,12280500000,14608800000,0,1222750000,4
2027,11057750000,13386050000,0,1222750000,4
2028,9835000000,12163300000,0,1226400000,4
2029,8608600000,10936900000,0,1233700000,4
2030,7374900000,9703200000,0,1237350000,4
2031,6137550000,8465850000,0,1246344642.857144,4
2032,4891205357.142857,7219505357.142857,0,1252297619.0476203,4
2033,3638907738.095236,5967207738.095236,0,1258250595.2380967,4
2034,2380657142.8571396,4708957142.85714,0,1264203571.428573,4
2035,1116453571.428566,3444753571.428566,0,1270156547.619049,4
2036,-153702976.1904831,2174597023.809517,0,1276109523.8095253,4
2037,-1429812500.0000076,898487499.9999924,0,1282062500.0000014,4
2038,-2711875000.0000076,-383575000.0000076,0,1288015476.1904776,4
2039,-3999890476.190487,-1671590476.190487,0,1293968452.3809538,4
2040,-5293858928.571442,-2965558928.5714417,0,1299921428.57143,4
2041,-6593780357.142872,-4265480357.142872,0,1305874404.761906,4
2042,-7899654761.904778,-5571354761.904778,0,1311827380.9523823,4
2043,-9211482142.85716,-6883182142.857159,0,1317780357.1428587,4
2044,-10529262500.00002,-8200962500.000019,0,1323733333.333335,4
2045,-11852995833.333357,-9524695833.333357,0,1329686309.523811,4
2046,-13182682142.857166,-10854382142.857166,0,1335639285.7142873,4
2047,-14518321428.571451,-12190021428.571451,0,1341592261.9047637,4
2048,-15859913690.476215,-13531613690.476215,0,1347545238.0952396,4
2049,-17207458928.571457,-14879158928.571457,0,1353498214.2857158,4
2050,-18560957142.85717,-16232657142.85717,0,1359451190.476192,4
2023,15894000000,18222300000,581875783,733979799,5
2024,14578144418,16906444418,581875783,716777147,5
2025,13279491488,15607791488,581875783,699574496,5
2026,11998041209,14326341209,581875783,682371844,5
2027,10733793582,13062093582,581875783,647966541,5
2028,9503951258,11832251258,581875783,630763890,5
2029,8291311585,10619611585,581875783,613561238,5
2030,7095874564,9424174564,581875783,596358587,5
2031,5917640194,8245940194,581875783,579155935,5
2032,4756608476,7084908476,581875783,561953284,5
2033,3612779409,5941079409,581875783,544750632,5
2034,2486152994,4814452994,581875783,510345329,5
2035,1393931882,3722231882,581875783,493142677,5
2036,318913422,2647213422,581875783,475940026,5
2037,-738902387,1589397613,581875783,441534723,5
2038,-1762312893,565987107,581875783,424332071,5
2039,-2768520747,-440220747,581875783,407129420,5
2040,-3757525950,-1429225950,581875783,372724117,5
2041,-4712125850,-2383825850,581875783,355521465,5
2042,-5649523098,-3321223098,581875783,338318814,5
2043,-6569717695,-4241417695,581875783,321116162,5
2044,-7472709640,-5144409640,581875783,303913511,5
2045,-8358498934,-6030198934,581875783,286710859,5
2046,-9227085576,-6898785576,581875783,269508207,5
2047,-10078469566,-7750169566,581875783,235102904,5
2048,-10895448253,-8567148253,581875783,217900253,5
2049,-11695224289,-9366924289,581875783,200697601,5
2050,-12477797673,-10149497673,581875783,183494950,5
