data,temp_max_diaria,nome,codigo_estacao,latitude,longitude,altitude,situacao,data_inicial,data_final,periodicidade_da_medicao
2024-03-23,40.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-24,40.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-25,39.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-26,39.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-27,41.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-28,36.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-29,38.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-30,40.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-03-31,39.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-01,40.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-02,40.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-03,40.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-04,38.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-05,38.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-06,39.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-07,41.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-08,39.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-09,39.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-10,39.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-11,38.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-12,40.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-13,38.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-14,39.5,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-15,40.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-16,39.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-17,34.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-18,38.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-19,33,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-20,35.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-21,36.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-22,38.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-23,35.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-24,33.5,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-25,34.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-26,36.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-27,38.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-28,38.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-29,39.1,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-04-30,36.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
2024-05-01,38.6,BOA VISTA,82024,2.82944443,-60.66194444,84.18,Operante,2024-01-01,2024-07-31,Diaria
